,Season,HomeTeam,AwayTeam,Result,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA
1,2023,Arsenal,Newcastle,D,0,0,1,0,0,1,0,17,8,4,1,10,16,5,5,4,4,0,0,1.8,3.8,4.33,1.8,3.6,4.4,1.83,3.75,4.2
2,2023,Arsenal,Man United,W,3,2,2,1,1,1,3,25,6,5,4,8,9,12,4,1,2,0,0,1.8,3.8,4.2,1.87,3.7,4,1.85,3.8,4
3,2023,Arsenal,Brentford,D,1,1,1,0,0,1,28,23,9,7,2,9,9,7,4,0,2,0,0,1.44,4.75,7,1.43,4.5,7.5,1.45,4.6,7
4,2023,Arsenal,Man City,L,1,3,0,1,1,1,3,10,9,1,6,11,15,1,3,2,3,0,0,2.9,3.5,2.35,2.85,3.4,2.4,2.9,3.3,2.45
5,2023,Arsenal,Everton,W,4,0,2,2,0,2,24,15,8,5,5,5,12,5,1,0,2,0,0,1.36,4.75,10,1.34,5,9.25,1.35,5,8.75
6,2023,Arsenal,Bournemouth,W,3,2,2,0,1,0,5,31,4,9,4,6,8,17,1,0,2,0,0,1.22,7,12,1.21,6.5,14,1.22,6.75,14
7,2023,Arsenal,Crystal Palace,W,4,1,2,2,0,2,34,15,8,5,4,8,10,5,4,0,1,0,0,1.25,5.5,15,1.26,5.75,12,1.25,5.75,12
8,2023,Arsenal,Leeds,W,4,1,2,1,0,2,9,13,7,6,5,11,13,4,3,0,2,0,0,1.29,6,9,1.29,5.75,10,1.3,5.75,10
9,2023,Arsenal,Southampton,D,3,3,1,1,2,0,35,25,8,6,6,10,14,7,2,1,5,0,0,1.2,7,13,1.2,7,14,1.22,6.75,13
10,2023,Arsenal,Chelsea,W,3,1,2,3,0,2,32,16,7,10,4,10,10,7,2,0,2,0,0,1.6,4,5.5,1.6,4.1,5.5,1.6,4.2,5.5
11,2023,Arsenal,Brighton,L,0,3,0,0,0,1,0,14,12,2,6,13,17,5,2,1,2,0,0,1.73,4.2,4.2,1.77,4,4.1,1.75,4,4.3
